,age,gender,category,amount,fraud
171915,3,F,es_transportation,49.71,0
426989,4,F,es_health,39.29,0
310539,3,F,es_transportation,18.76,0
215216,4,M,es_transportation,13.95,0
569244,2,M,es_transportation,49.87,0
153631,4,F,es_hyper,57.82,0
290621,5,F,es_transportation,27.26,0
78537,2,F,es_transportation,7.61,0
56239,4,M,es_transportation,42.01,0
562564,2,F,es_transportation,21.08,0
429742,3,M,es_transportation,25.44,0
282044,5,F,es_health,70.65,0
211040,2,F,es_food,41.08,0
115784,2,M,es_transportation,12.44,0
345901,2,M,es_transportation,13.72,0
564630,2,M,es_transportation,29.76,0
463539,5,M,es_transportation,33.29,0
174633,4,F,es_transportation,23.09,0
103574,5,F,es_transportation,55.17,0
11122,5,M,es_transportation,52.83,0
419118,3,M,es_transportation,44.71,0
100793,4,F,es_transportation,42.12,0
555846,4,M,es_transportation,28.16,0
156536,6,F,es_transportation,1.0997999999999999,0
165671,2,F,es_transportation,3.03,0
305336,6,F,es_transportation,65.79,0
208970,2,F,es_transportation,29.34,0
587004,4,M,es_food,16.33,0
579532,3,F,es_transportation,40.57,0
286077,2,M,es_transportation,20.77,0
549369,5,F,es_wellnessandbeauty,57.73,0
403863,3,M,es_transportation,18.06,0
592914,1,F,es_health,87.59,0
44268,6,M,es_health,188.36,0
202735,4,M,es_transportation,13.57,0
486252,2,F,es_transportation,31.88,0
436724,2,F,es_transportation,40.02,0
264799,2,F,es_transportation,21.34,0
42352,2,F,es_transportation,59.87,0
558626,5,F,es_transportation,56.09,0
192858,5,M,es_transportation,68.38,0
189244,5,F,es_transportation,19.36,0
165919,2,M,es_transportation,17.08,0
55303,2,F,es_transportation,3.73,0
420019,3,F,es_transportation,43.21,0
581170,2,F,es_transportation,23.81,0
518588,4,M,es_transportation,9.05,0
288606,3,F,es_transportation,7.12,0
583096,3,F,es_fashion,65.76,0
217243,4,M,es_transportation,22.08,0
511919,2,F,es_transportation,18.58,0
482845,2,F,es_health,95.41,0
415157,2,F,es_transportation,14.46,0
185655,4,M,es_transportation,46.03,0
24869,4,F,es_transportation,14.86,0
547641,4,M,es_transportation,52.79,0
489484,2,F,es_transportation,22.19,0
186103,4,M,es_transportation,26.45,0
238273,4,M,es_transportation,48.38,0
46496,3,F,es_transportation,4.54,0
309460,1,M,es_transportation,2.27,0
98261,3,F,es_transportation,43.03,0
338663,6,M,es_transportation,12.18,0
262857,3,M,es_transportation,32.41,0
8457,5,M,es_transportation,32.05,0
191447,2,F,es_transportation,12.68,0
453910,4,F,es_transportation,15.67,0
534351,2,F,es_transportation,23.95,0
566038,6,M,es_health,8.14,0
492259,3,M,es_transportation,1.0997999999999999,0
257814,3,M,es_transportation,36.83,0
165498,4,M,es_transportation,26.12,0
416135,1,F,es_transportation,17.41,0
279271,4,M,es_transportation,10.43,0
79034,2,F,es_transportation,53.63,0
84526,1,M,es_health,188.94,0
186117,5,M,es_hotelservices,228.05,0
158192,3,M,es_transportation,14.23,0
6891,4,F,es_transportation,4.83,0
492092,2,F,es_transportation,28.54,0
95119,4,M,es_transportation,13.01,0
446847,3,F,es_fashion,1.31,0
102604,5,F,es_food,51.02,0
563312,6,M,es_transportation,19.87,0
208109,6,F,es_health,95.43,0
228774,1,F,es_transportation,57.12,0
480254,3,F,es_transportation,30.58,0
522755,2,F,es_transportation,44.65,0
565608,3,M,es_transportation,28.09,0
276868,4,F,es_transportation,28.98,0
108084,3,M,es_wellnessandbeauty,88.74,0
583859,2,F,es_hotelservices,48.89,0
481323,2,F,es_transportation,39.37,0
250618,6,F,es_transportation,48.57,0
214302,1,F,es_hyper,13.74,0
236289,3,F,es_transportation,43.32,0
92503,4,F,es_transportation,26.52,0
474911,2,F,es_transportation,27.95,0
58702,2,F,es_transportation,17.06,0
434398,1,M,es_fashion,103.79,0
541509,3,M,es_transportation,31.1,0
579065,4,M,es_transportation,32.31,0
80081,4,F,es_transportation,16.98,0
69635,3,M,es_transportation,36.01,0
88489,6,F,es_transportation,47.88,0
382515,3,F,es_transportation,25.28,0
218509,4,M,es_transportation,44.51,0
279607,3,M,es_hyper,50.84,0
464728,4,M,es_fashion,18.97,0
498980,6,F,es_transportation,48.79,0
48517,2,F,es_transportation,30.01,0
51897,2,M,es_transportation,30.92,0
190622,2,M,es_transportation,6.26,0
97566,2,M,es_transportation,8.1,0
537222,4,M,es_transportation,38.18,0
25139,1,M,es_transportation,21.22,0
345276,2,F,es_transportation,1.0997999999999999,0
514791,5,M,es_transportation,71.5,0
277999,1,F,es_transportation,10.3,0
268629,2,F,es_transportation,28.61,0
257200,2,F,es_health,75.48,0
425737,1,M,es_transportation,9.14,0
259433,4,M,es_transportation,40.11,0
265547,4,M,es_transportation,1.99,0
176394,4,F,es_transportation,4.11,0
131881,4,F,es_transportation,29.23,0
247532,1,F,es_transportation,28.7,0
320991,2,M,es_transportation,6.24,0
205378,5,M,es_transportation,6.72,0
114085,2,M,es_wellnessandbeauty,37.63,0
251595,2,M,es_fashion,8.03,0
32704,2,F,es_transportation,26.01,0
77763,4,F,es_sportsandtoys,5.69,0
274662,3,F,es_transportation,14.5,0
171367,2,F,es_transportation,2.07,0
398668,6,F,es_transportation,28.38,0
73392,4,F,es_transportation,41.12,0
248088,3,F,es_transportation,33.09,0
314070,3,M,es_transportation,45.87,0
564848,2,F,es_health,94.56,0
315093,3,F,es_transportation,21.2,0
474216,2,F,es_transportation,3.58,0
