,age,amount,fraud,M,es_barsandrestaurants,es_contents,es_fashion,es_food,es_health,es_home,es_hotelservices,es_hyper,es_leisure,es_otherservices,es_sportsandtoys,es_tech,es_transportation,es_travel
0,3,49.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,4,39.29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,3,18.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,4,13.95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,2,49.87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,4,57.82,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,5,27.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,2,7.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,4,42.01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,2,21.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,3,25.44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,5,70.65,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,2,41.08,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,2,12.44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,2,13.72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,2,29.76,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,5,33.29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,4,23.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,5,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,5,52.83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,3,44.71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,4,42.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,4,28.16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23,6,1.0998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,2,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,6,65.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,2,29.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,4,16.33,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,3,40.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,2,20.77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,5,57.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,3,18.06,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
