Id,Year,Name
1,2003,Dinosaur Planet
2,2004,Isle of Man TT 2004 Review
3,1997,Character
4,1994,Paula Abdul's Get Up & Dance
5,2004,The Rise and Fall of ECW
6,1997,Sick
7,1992,8 Man
8,2004,What the #$*! Do We Know!?
9,1991,Class of Nuke 'Em High 2
10,2001,Fighter
11,1999,Full Frame: Documentary Shorts
12,1947,My Favorite Brunette
13,2003,Lord of the Rings: The Return of the King: Extended Edition: Bonus Material
14,1982,Nature: Antarctica
15,1988,Neil Diamond: Greatest Hits Live
16,1996,Screamers
17,2005,7 Seconds
18,1994,Immortal Beloved
19,2000,By Dawn's Early Light
20,1972,Seeta Aur Geeta
21,2002,Strange Relations
22,2000,Chump Change
23,2001,Clifford: Clifford Saves the Day! / Clifford's Fluffiest Friend Cleo
24,1981,My Bloody Valentine
25,1997,Inspector Morse 31: Death Is Now My Neighbour
26,2004,Never Die Alone
27,1962,Sesame Street: Elmo's World: The Street We Live On
28,2002,Lilo and Stitch
29,2001,Boycott
30,2003,Something's Gotta Give
31,1999,Classic Albums: Meat Loaf: Bat Out of Hell
32,2004,ABC Primetime: Mel Gibson's The Passion of the Christ
33,2000,Aqua Teen Hunger Force: Vol. 1
34,2003,Ashtanga Yoga: Beginner's Practice with Nicki Doane
35,2000,Ferngully 2: The Magical Rescue
36,1992,Lady Chatterley
37,1973,Zatoichi's Conspiracy
38,2003,Daydream Obsession
39,2000,Love Reinvented
40,2004,Pitcher and the Pin-Up
41,2000,Horror Vision
42,2002,Searching for Paradise
43,2000,Silent Service
44,1996,Spitfire Grill
45,1999,The Love Letter
46,1964,Rudolph the Red-Nosed Reindeer
47,1952,The Bad and the Beautiful
48,2001,Justice League
49,2003,Devo: The Complete Truth About De-evolution
50,1941,A Yank in the R.A.F.
51,2002,Jonah: A VeggieTales Movie: Bonus Material
52,2002,The Weather Underground
53,2003,The Bonesetter
54,1952,We're Not Married
55,1995,Jade
56,2004,Carandiru
57,1995,Richard III
58,1996,Dragonheart
59,2003,Sex and the Beauties
60,1969,The Libertine
61,1999,Ricky Martin: One Night Only
62,1991,Ken Burns' America: Empire of the Air
63,1943,Crash Dive
64,2001,Outside the Law
65,2000,Lost in the Pershing Point Hotel
66,1989,Barbarian Queen 2
67,1997,Vampire Journals
68,2004,Invader Zim
69,2003,WWE: Armageddon 2003
70,1999,Tai Chi: The 24 Forms
71,1995,Maya Lin: A Strong Clear Vision
